,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
374,Aug,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10,
375,Aug,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark
376,Aug,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N,15h30,3' shark
377,Aug,2015,Boating,USA,California,Santa Barbara County,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30,"White shark, 13'"
378,Aug,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,10,Minor injury when he attempted to touch a fish. ,UNKNOWN,11h00,Shark involvement not confirmed
379,Aug,2015,Provoked,USA,California,Cortes Bank,Fishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7'
380,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark
381,Jul,2015,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,47,Minor inuries to toes,N,,
382,Jul,2015,,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,40,Injury to hand,UNKNOWN,,
383,Jul,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'"
384,Jul,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",UNKNOWN,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
385,Jul,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m"
386,Jul,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"Mako shark, 100-lb"
387,Jul,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,Left hand bitten,N,,"Bronze whaler shark, 1.5m"
388,Jul,2015,Unprovoked,REUNION,,St. Leu,Surfing,M,45,Arm bitten,N,,"Bull shark, 2m"
389,Jul,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,,White shark
390,Jul,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'"
391,Jul,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,Laceration to back,UNKNOWN,,Shark involvement not cofirmed
392,Jul,2015,Invalid,FRENCH POLYNESIA,Bora Bora,,Swimming,M,,Parallel lacerations to torso inconsistent with shark bite,UNKNOWN,,No shark involvement
393,Jul,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Fishing,F,23,Lacerations to lower leg & ankle,N,,6' shark
394,Jul,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",,M,32,Lacerations to right hand & forearm,N,Evening,
395,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark
396,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark
397,Jul,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark
398,Jun,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,,Hand bitten,N,,
399,Jun,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark
400,Jun,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark
401,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark
402,Jun,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,,Minor lacerations to leg,UNKNOWN,19h30,Shark involvement not confirmed
403,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m"
404,Jun,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N,11h00,4' shark
405,Jun,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong shark
406,Jun,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Surfing?,M,47,Multiple lacerations to back,N,11h41,
407,Jun,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N,12h25,Sandtiger shark
408,Jun,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark
409,Jun,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N,,small shark
410,Jun,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo,Fishing,M,36,Injury to hand,N,Morning,
411,Jun,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N,13h00,
412,Jun,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,N,17h51,Bull shark
413,Jun,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark
414,Jun,2015,Unprovoked,USA,California,Off San Diego,,F,,Severe laceration to leg,N,,Mako shark
415,Jun,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,Minor lacerations to foot,N,12h45,4' shark
416,Jun,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,N,10h50,"Bull shark, 5'"
417,Jun,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,N,,small nurse shark
418,Jun,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,Left forearm bitten,N,15h00,"Bull shark, 2.5 m"
419,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,N,15h00,
420,May,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,N,13h45,
421,May,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Fishing,M,19,Lacerations to right forearm,N,08h00,1m to 1.2 m shark
422,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,
423,May,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,10h30,5' shark
424,May,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,30,Laceration to foot ,N,14h15,6' shark
425,May,2015,Unprovoked,NEW CALEDONIA,,Kouare ,Snorkeling,M,50,FATAL,Y,,"Bull shark, 3.5 m"
426,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,15h00,
427,May,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,,Injuries to left arm & right hand,N,15h00,White shark
428,May,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m"
429,Apr,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Y,09h00,
430,Apr,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,N,16h30,3- to 4-foot shark
431,Apr,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m"
432,Jun,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m"
433,Apr,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,,"Blue shark, 8 to 9 feet"
434,Apr,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,FATAL,Y,09h00,Bull shark
435,Apr,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,,Ankle injured,N,07h30,
436,Apr,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Fishing,M,70,Injuries to head & torso,N,Afternoon,Bull shark
437,Mar,2015,Invalid,ITALY,Sardinia,,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",UNKNOWN,,Shark involvement not cofirmed
438,Mar,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,UNKNOWN,11h00,No shark involvement
439,Mar,2015,Boating,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,N,,"White shark, 4 m"
440,Mar,2015,Unprovoked,EGYPT,,Marsa Alam,Swimming,M,52,FATAL,Y,,Mako shark
441,Mar,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet"
442,Mar,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark
443,Mar,2015,Boating,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,,Bruised in falling overboard as shark bumped boat,N,Morning,
444,Mar,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,
445,Mar,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18 months,Thigh bitten,N,,Blacktip Reef shark 
446,Feb,2015,Boating,ATLANTIC OCEAN,,,Transatlantic Rowing,,,"No injury, shark bit rudder",N,,White shark
447,Feb,2015,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m"
448,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark
449,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark
450,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Surfing,M,,5 minor puncture wounds to lower left leg,N,,1.8 m shark
451,Jan,2015,Boating,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m"
452,Jan,2015,Provoked,USA,Hawaii,Lahaina,Fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark
453,Jan,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,,"No injury, surfboard dented",N,,
454,Jan,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N,Afternoon,
455,Jan,2015,Boating,USA,Florida,Off Panama City,Fishing,M,,No injury but shark bit trolling motor & rammed boat,N,,White shark
456,Jan,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,,Board snapped in two,UNKNOWN,,Shark involvement not confirmed
457,Jan,2015,Boating,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,"Shark bumped boat, no injury to occupants",N,13h45,5 m shark
458,Jan,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,,1.5 m shark
459,Jan,2015,Invalid,USA,Florida,,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",UNKNOWN,Night,No shark involvement
460,Jan,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark
461,Jan,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m"
462,Jan,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,M,12,Leg bitten,N,Afternoon,"""A small shark"""
463,Dec,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,,,Lacerations to both feet,N,Morning,2 m shark
464,Dec,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Fishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m"
465,Dec,2014,Sea Disaster,GREECE,,33 nautical miles off Othonoi Island,,,,"Of 9 bodies recovered, one was bitten by a shark",N,,Shark involvement prior to death still to be determined
466,Dec,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,,,Minor cuts on feet,UNKNOWN,Morning,Shark involvement not confirmed & highly unlikely
467,Dec,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'"
468,Dec,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 m shark
469,Dec,2014,Unprovoked,JAPAN,,,Diving / Filming,M,,"No injury, shark snagged its teeth in diver's suit",N,,Goblin shark
470,Dec,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Fishing,M,17,FATAL,Y,11h30,Tiger shark
471,Dec,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,07h00,
472,Nov,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,
473,Nov,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,
474,Nov,2014,Boating,AUSTRALIA,Western Australia,Freo,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,White shark
475,Nov,2014,Boating,USA,California,"Franklin Point, San Mateo County",,,,"Shark bumped boat, no injury to occupants",N,,White shark
476,Nov,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,13h00,2' shark
477,Nov,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark
478,Nov,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,,Minor injury to lower leg and foot,N,06h30,
479,Nov,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,16h30,
480,Oct,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'"
481,Oct,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,
482,Oct,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",N,10h00,Tiger shark
483,Oct,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",N,08h00,
484,Oct,2014,Boating,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,,"No injury to occupant, canoe bitten",N,,
485,Oct,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,,"No injury, surfboard bitten",N,11h15,12' to 14' shark
486,Oct,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark
487,Oct,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,,"Bull shark, 3' to 4'"
488,Oct,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing Boogie boarding,F,,Laceration to right hand/wrist,N,15h30,
489,Oct,2014,Boating,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,,"Kayak deflated, no injury to occupants",N,17h20,
490,Oct,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,11h30,Blacktip shark
491,Oct,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,Afternoon,
492,Oct,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,11h00,Blacktip shark
493,Oct,2014,Boating,USA,California,Santa Barbara County,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",N,14h00,"White shark, 18' to 20'"
494,Oct,2014,Boating,USA,California,Santa Barbara County,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",N,11h30,White shark
495,Oct,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark
496,Oct,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8"""
497,Sep,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Minor injury to left foot,N,11h30,
498,Sep,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,Thumb & finger nipped,N,,Blacktip shark
499,Sep,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,"A hoax, no shark involvement",UNKNOWN,18h45,No shark involvement
500,Sep,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,10h45,7' shark
501,Sep,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,N,13h00,Bull shark
502,Sep,2014,Boating,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20s,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'"
503,Sep,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark
504,Sep,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16,Lacerations to right hand,N,,
505,Aug,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,13,Injury to left calf,N,16h40,Spinner shark
506,Aug,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark
507,Aug,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",,,,Shark involvement not confirmed,UNKNOWN,16h18,Shark involvement not confirmed
508,Aug,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,
509,Aug,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30s,Minor lacerations to posterior lower leg,N,,small shark
510,Aug,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,N,,4' to 6' shark
511,Aug,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,,Heel bitten,N,15h00,
512,Aug,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"Bull shark, 4.5' "
513,Aug,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,,,Laceration to left foot,N,,4' shark
514,Aug,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Fishing,M,31,Lacerations to face and neck,N,,reef shark
515,Aug,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'"
516,Aug,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",,M,26,Puncture wounds & lacerations to foot,N,,
517,Aug,2014,Unprovoked,BAHAMAS,,,Fishing,M,,Puncture wounds to right foot and ankle,N,,"Bull shark, 9' to 10'"
518,Aug,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,
519,Aug,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'"
520,Aug,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark
521,Aug,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,N,,
522,Aug,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,N,,
523,Aug,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,N,13h00,
524,Aug,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark
525,Aug,2014,Invalid,,,,Sea disaster,M,,Shark involvement prior to death not confirmed,UNKNOWN,,Shark involvement not confirmed
526,Jul,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,N,,Possibly juvenile tiger shark
527,Jul,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark
528,Jul,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,N,Early afternoon,
529,Jul,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,,,Minor injury,N,,Angel shark
530,Jul,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark
531,Jul,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark
532,Jul,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",UNKNOWN,Night,Shark involvement not confirmed
533,Jul,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing,M,,Lacerations to hand and wrist,N,,
534,Jul,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,N,14h00,
535,Jul,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,09h30," White shark, 7' "
536,Jul,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,,"No injury, surboard bitten",N,07h00 - 08h00,
537,Jul,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark
538,Jun,2014,Boating,ST. MARTIN,,20 miles from shore,Transatlantic Rowing,M,48,His boat was holed by a shark,N,,Oceanic whitetip shark'
539,Jun,2014,Unprovoked,BAHAMAS,Abaco Islands,,Fishing,M,42,No injury but shark took his pole spear,N,13h00,"Caribbean reef shark, 7' to 8'"
540,Jun,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,,"No injury, surfboard 'attacked'",N,17h01,
541,Jun,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,N,17h00,
542,Jun,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,," Lemon shark, 3.5 m"
543,Jun,2014,Unprovoked,BRAZIL,,500 km off the coast of Pernambuco,Fishing,M,43,Severe injury to arm,N,,
544,Jun,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N,17h00," Sandbar shark, 3' to 4'"
545,Jun,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m"
546,Jun,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,43,Left arm bitten,N,Afternoon,
547,Jun,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,Afternoon,
548,Jun,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark
549,Jun,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,,Lacerations & puncture wounds to ankle and foot,N,Morning,
550,Jun,2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,F,37,Laceration to left hand,N,,Blacktip Reef shark 
551,May,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,N,," Bull shark, 1.2m "
552,May,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,M,,Lacerations to left thigh and hip,N,Morning,3m shark
553,May,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,," Tawney nurse shark, 1m"
554,May,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,N,11h30,
